"","name","longitude","latitude","prov","date","key"
"321","Asclepias subulata Decne.",-116.241598,32.977028,"gbif",2021-11-13,"3415917395"
"322","Asclepias subulata Decne.",-116.234062,32.962681,"gbif",2021-11-13,"3415939289"
"323","Asclepias subulata Decne.",-114.109681,28.822864,"gbif",2021-11-02,"3415950228"
"324","Asclepias subulata Decne.",-116.23178,32.965908,"gbif",2021-11-13,"3415977320"
"325","Asclepias subulata Decne.",-116.23178,32.965908,"gbif",2021-11-13,"3415982400"
"326","Asclepias subulata Decne.",-116.23178,32.965908,"gbif",2021-11-13,"3416011452"
"327","Asclepias subulata Decne.",-116.237953,32.974497,"gbif",2021-11-13,"3416048501"
"328","Asclepias subulata Decne.",-116.2573,32.933788,"gbif",2021-11-19,"3416059990"
"329","Asclepias subulata Decne.",-116.232762,32.967382,"gbif",2021-11-13,"3416104814"
"330","Asclepias subulata Decne.",-112.873014,32.38674,"gbif",2021-11-24,"3416124507"
"331","Asclepias subulata Decne.",-116.232792,32.967358,"gbif",2021-11-13,"3416130894"
"332","Asclepias subulata Decne.",-115.843778,30.960572,"gbif",2021-11-13,"3416130973"
"333","Asclepias subulata Decne.",-110.232201,23.651986,"gbif",2021-11-11,"3416170671"
"334","Asclepias subulata Decne.",-116.232295,32.967242,"gbif",2021-11-13,"3416184154"
"335","Asclepias subulata Decne.",-114.531417,36.48233,"gbif",2021-11-24,"3416220347"
"336","Asclepias subulata Decne.",-116.292656,33.78965,"gbif",2021-11-22,"3416247203"
"337","Asclepias subulata Decne.",-110.325268,24.324965,"gbif",2020-01-08,"2550017214"
"338","Asclepias subulata Decne.",-116.294341,33.295023,"gbif",2020-01-08,"2550087411"
"339","Asclepias subulata Decne.",-110.307148,24.337377,"gbif",2020-01-05,"2550135452"
"340","Asclepias subulata Decne.",-114.712089,35.976639,"gbif",2020-01-12,"2557783540"
"341","Asclepias subulata Decne.",-114.515519,36.440647,"gbif",2020-01-11,"2557793066"
"342","Asclepias subulata Decne.",-114.515342,36.440319,"gbif",2020-01-11,"2557794481"
"343","Asclepias subulata Decne.",-114.595786,35.230275,"gbif",2020-01-08,"2557795831"
"344","Asclepias subulata Decne.",-109.547901,23.588728,"gbif",2020-01-03,"2557802694"
"345","Asclepias subulata Decne.",-114.693977,34.967373,"gbif",2020-01-03,"2563489013"
"346","Asclepias subulata Decne.",-109.43845,23.407355,"gbif",2020-01-04,"2563492697"
"347","Asclepias subulata Decne.",-112.304008,29.431217,"gbif",2020-01-05,"2563563600"
"348","Asclepias subulata Decne.",-116.23835,33.299847,"gbif",2020-01-19,"2563579762"
"349","Asclepias subulata Decne.",-116.238153,33.300361,"gbif",2020-01-19,"2563580555"
"350","Asclepias subulata Decne.",-114.533501,36.486881,"gbif",2020-01-06,"2563596811"
"351","Asclepias subulata Decne.",-116.238338,33.299837,"gbif",2020-01-11,"2574076556"
"352","Asclepias subulata Decne.",-115.178353,33.91153,"gbif",2020-01-26,"2574278740"
"353","Asclepias subulata Decne.",-116.592565,31.774803,"gbif",2020-01-16,"3070489830"
"354","Asclepias subulata Decne.",-114.693978,34.967392,"gbif",2020-01-03,"3112737329"
"355","Asclepias subulata Decne.",-115.172576,33.013684,"gbif",2020-02-13,"2573853886"
"356","Asclepias subulata Decne.",-109.807965,23.471412,"gbif",2020-02-14,"2573984162"
"357","Asclepias subulata Decne.",-116.148669,32.915428,"gbif",2020-02-04,"2574229169"
"358","Asclepias subulata Decne.",-110.951676,29.147338,"gbif",2020-02-29,"2576312998"
"359","Asclepias subulata Decne.",-116.439394,33.949633,"gbif",2020-02-28,"2576333018"
"360","Asclepias subulata Decne.",-110.330391,24.314897,"gbif",2020-02-05,"2856570040"
"361","Asclepias subulata Decne.",-109.767692,22.98497,"gbif",2020-02-11,"3018074655"
"362","Asclepias subulata Decne.",-116.331262,33.836555,"gbif",2020-03-01,"2576255931"
"363","Asclepias subulata Decne.",-115.836308,33.6488,"gbif",2020-03-04,"2576472240"
"364","Asclepias subulata Decne.",-115.967292,33.59478,"gbif",2020-03-11,"2579242538"
"365","Asclepias subulata Decne.",-116.352825,33.774037,"gbif",2020-03-08,"2579375343"
"366","Asclepias subulata Decne.",-116.144258,32.902332,"gbif",2020-03-16,"2580078542"
"367","Asclepias subulata Decne.",-116.142941,32.901908,"gbif",2020-03-16,"2580085586"
"368","Asclepias subulata Decne.",-116.15086,32.828365,"gbif",2020-03-14,"2580100454"
"369","Asclepias subulata Decne.",-116.151053,32.903818,"gbif",2020-03-16,"2580100575"
"370","Asclepias subulata Decne.",-116.150268,32.827285,"gbif",2020-03-14,"2580103509"
"371","Asclepias subulata Decne.",-116.1523,32.904237,"gbif",2020-03-16,"2580103652"
"372","Asclepias subulata Decne.",-116.131477,32.908225,"gbif",2020-03-16,"2580106615"
"373","Asclepias subulata Decne.",-116.149517,32.82721,"gbif",2020-03-14,"2580107450"
"374","Asclepias subulata Decne.",-116.497115,33.988222,"gbif",2020-03-14,"2580136438"
"375","Asclepias subulata Decne.",-116.150413,32.825876,"gbif",2020-03-14,"2580182681"
"376","Asclepias subulata Decne.",-116.137023,32.820624,"gbif",2020-03-14,"2580194640"
"377","Asclepias subulata Decne.",-116.174405,33.168765,"gbif",2020-03-17,"2580200927"
"378","Asclepias subulata Decne.",-116.174229,33.168202,"gbif",2020-03-17,"2580236942"
"379","Asclepias subulata Decne.",-116.174308,33.16827,"gbif",2020-03-17,"2580240917"
"380","Asclepias subulata Decne.",-116.148289,32.79906,"gbif",2020-03-14,"2580256553"
"381","Asclepias subulata Decne.",-116.172692,33.166942,"gbif",2020-03-17,"2580258945"
"382","Asclepias subulata Decne.",-116.167123,32.833084,"gbif",2020-03-19,"2580330136"
"383","Asclepias subulata Decne.",-114.713736,35.708589,"gbif",2020-03-20,"2596042224"
"384","Asclepias subulata Decne.",-116.352809,33.773696,"gbif",2020-03-08,"2596107219"
"385","Asclepias subulata Decne.",-116.157362,32.843247,"gbif",2020-03-25,"2596119010"
"386","Asclepias subulata Decne.",-116.325864,33.82331,"gbif",2020-03-30,"2596127684"
"387","Asclepias subulata Decne.",-110.246611,23.457178,"gbif",2020-03-25,"2596177279"
"388","Asclepias subulata Decne.",-116.333717,33.842878,"gbif",2020-03-20,"2596223287"
"389","Asclepias subulata Decne.",-114.748833,35.700144,"gbif",2020-03-21,"2596236494"
"390","Asclepias subulata Decne.",-116.167377,32.838118,"gbif",2020-03-25,"2596271028"
"391","Asclepias subulata Decne.",-115.967258,33.594861,"gbif",2020-03-28,"2596282779"
"392","Asclepias subulata Decne.",-115.93567,33.585103,"gbif",2020-03-24,"2596348050"
"393","Asclepias subulata Decne.",-116.157336,32.842769,"gbif",2020-03-25,"2596399201"
"394","Asclepias subulata Decne.",-116.335013,33.834412,"gbif",2020-03-01,"2634022514"
"395","Asclepias subulata Decne.",-116.136389,33.27126,"gbif",2020-03-08,"3031912350"
"396","Asclepias subulata Decne.",-114.753128,35.937394,"gbif",2020-04-05,"2597745531"
"397","Asclepias subulata Decne.",-114.723139,35.992915,"gbif",2020-04-02,"2597750136"
"398","Asclepias subulata Decne.",-115.932781,34.596644,"gbif",2020-04-08,"2597792987"
"399","Asclepias subulata Decne.",-116.163415,33.292022,"gbif",2020-04-09,"2597895106"
"400","Asclepias subulata Decne.",-116.166068,33.29168,"gbif",2020-04-09,"2597923103"
"401","Asclepias subulata Decne.",-116.16716,33.284258,"gbif",2020-04-09,"2597926124"
"402","Asclepias subulata Decne.",-111.673399,33.305,"gbif",2020-04-15,"2603359219"
"403","Asclepias subulata Decne.",-116.28868,33.296817,"gbif",2020-04-11,"2603419512"
"404","Asclepias subulata Decne.",-116.024626,33.690482,"gbif",2020-04-13,"2603484002"
"405","Asclepias subulata Decne.",-115.957977,33.673631,"gbif",2020-04-13,"2603487994"
"406","Asclepias subulata Decne.",-116.14953,32.82719,"gbif",2020-04-21,"2609286341"
"407","Asclepias subulata Decne.",-111.634767,33.473805,"gbif",2020-04-19,"2609353084"
"408","Asclepias subulata Decne.",-116.443608,33.962203,"gbif",2020-04-27,"2611272768"
"409","Asclepias subulata Decne.",-112.069786,33.729707,"gbif",2020-04-27,"2611281790"
"410","Asclepias subulata Decne.",-114.364844,34.459358,"gbif",2020-04-30,"2620039896"
"411","Asclepias subulata Decne.",-114.359992,34.462917,"gbif",2020-04-23,"2620045040"
"412","Asclepias subulata Decne.",-95.380414,36.684169,"gbif",2020-04-30,"2620046254"
"413","Asclepias subulata Decne.",-110.859375,32.196398,"gbif",2020-04-25,"2620049112"
"414","Asclepias subulata Decne.",-114.359992,34.462925,"gbif",2020-04-23,"2620049143"
"415","Asclepias subulata Decne.",-116.300745,33.817317,"gbif",2020-04-12,"3079692337"
"416","Asclepias subulata Decne.",-116.295463,33.810805,"gbif",2020-04-12,"3109055047"
"417","Asclepias subulata Decne.",-114.441518,34.094537,"gbif",2020-05-04,"2620074230"
"418","Asclepias subulata Decne.",-115.155056,32.984851,"gbif",2020-05-13,"2626332233"
"419","Asclepias subulata Decne.",-116.036767,34.665053,"gbif",2020-05-18,"2626653082"
"420","Asclepias subulata Decne.",-115.931389,34.141389,"gbif",2020-05-14,"2626659479"
"421","Asclepias subulata Decne.",-116.335988,33.833063,"gbif",2020-05-22,"2634022983"
"422","Asclepias subulata Decne.",-115.814963,33.65257,"gbif",2020-05-24,"2634040334"
"423","Asclepias subulata Decne.",-114.484947,36.166347,"gbif",2020-05-26,"2634042875"
"424","Asclepias subulata Decne.",-110.289577,24.060906,"gbif",2020-05-31,"2634299810"
"425","Asclepias subulata Decne.",-110.116906,23.190178,"gbif",2020-05-26,"2634564913"
"426","Asclepias subulata Decne.",-116.487511,32.345603,"gbif",2020-05-30,"2634567075"
"427","Asclepias subulata Decne.",-116.341845,33.850523,"gbif",2020-05-09,"2802541591"
"428","Asclepias subulata Decne.",-114.804328,35.481105,"gbif",2020-05-27,"2802662093"
"429","Asclepias subulata Decne.",-112.214064,33.724443,"gbif",2020-05-14,"2975214949"
"430","Asclepias subulata Decne.",-110.952951,32.398178,"gbif",2020-05-26,"2977372469"
"431","Asclepias subulata Decne.",-116.407959,33.676049,"gbif",2020-05-11,"2977380619"
"432","Asclepias subulata Decne.",-116.503623,32.303797,"gbif",2020-05-23,"3070276079"
"433","Asclepias subulata Decne.",-116.49972,32.302817,"gbif",2020-05-23,"3070295950"
"434","Asclepias subulata Decne.",-116.484698,32.369773,"gbif",2020-05-30,"3070311022"
"435","Asclepias subulata Decne.",-116.635165,31.675845,"gbif",2020-05-30,"3070601133"
"436","Asclepias subulata Decne.",-111.972702,33.614392,"gbif",2020-06-03,"2634585212"
"437","Asclepias subulata Decne.",-114.813056,35.488611,"gbif",2020-06-02,"2641525177"
"438","Asclepias subulata Decne.",-112.097458,33.29242,"gbif",2020-06-25,"2802676403"
"439","Asclepias subulata Decne.",-114.713888,35.708589,"gbif",2020-06-17,"2802805604"
"440","Asclepias subulata Decne.",-116.552859,31.898548,"gbif",2020-06-16,"2802966383"
"441","Asclepias subulata Decne.",-116.332328,31.419558,"gbif",2020-06-14,"2802977740"
"442","Asclepias subulata Decne.",-116.320206,31.386908,"gbif",2020-06-14,"2803043996"
"443","Asclepias subulata Decne.",-116.128922,31.142822,"gbif",2020-06-13,"2803081208"
"444","Asclepias subulata Decne.",-112.035532,33.705808,"gbif",2020-06-30,"2814228134"
"445","Asclepias subulata Decne.",-111.788134,33.770111,"gbif",2020-06-30,"2814338156"
"446","Asclepias subulata Decne.",-114.674125,29.75904,"gbif",2020-06-26,"2814430840"
"447","Asclepias subulata Decne.",-116.06638,33.644453,"gbif",2020-06-29,"2814453929"
"448","Asclepias subulata Decne.",-116.31987,31.38671,"gbif",2020-06-14,"3070267966"
"449","Asclepias subulata Decne.",-116.277393,31.265608,"gbif",2020-06-28,"3070321095"
"450","Asclepias subulata Decne.",-116.339778,31.420727,"gbif",2020-06-14,"3070327040"
"451","Asclepias subulata Decne.",-116.296252,31.316327,"gbif",2020-06-14,"3070531963"
"452","Asclepias subulata Decne.",-116.12928,31.143303,"gbif",2020-06-13,"3070540931"
"453","Asclepias subulata Decne.",-116.271425,31.269535,"gbif",2020-06-28,"3070597001"
"454","Asclepias subulata Decne.",-114.278799,36.956417,"gbif",2020-06-01,"3321121179"
"455","Asclepias subulata Decne.",-116.602225,31.903228,"gbif",2020-07-06,"2813975814"
"456","Asclepias subulata Decne.",-115.877267,30.956697,"gbif",2020-07-04,"2814135906"
